City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
145,Tara,RU,2021-04-04 04:54:23,56.8944,74.371,31.37,87,100,10.29,overcast clouds
146,Poso,ID,2021-04-04 04:54:23,-1.3959,120.7524,88.56,61,30,5.46,scattered clouds
147,Caramay,PH,2021-04-04 04:54:24,10.1815,119.236,85.98,64,97,10.29,overcast clouds
148,Bethel,US,2021-04-04 04:48:16,41.3712,-73.414,35.01,59,1,4.61,clear sky
149,Novyy Buh,UA,2021-04-04 04:54:24,47.6931,32.5216,39.2,87,90,4.47,overcast clouds
150,Barrow,US,2021-04-04 04:47:25,71.2906,-156.7887,-9.4,70,1,8.05,clear sky
151,Gazanjyk,TM,2021-04-04 04:54:25,39.2446,55.5154,53.73,53,6,11.9,clear sky
152,Avera,US,2021-04-04 04:54:25,33.194,-82.5271,41.0,87,1,4.72,clear sky
153,Praia Da Vitoria,PT,2021-04-04 04:54:25,38.7333,-27.0667,59.0,100,75,26.6,broken clouds
154,Xinzhi,CN,2021-04-04 04:54:26,36.4989,111.7047,59.81,28,79,8.37,broken clouds
155,Muslyumovo,RU,2021-04-04 04:54:26,55.3033,53.1947,33.48,99,100,6.06,snow
156,Belyy Yar,RU,2021-04-04 04:54:26,53.6039,91.3903,48.2,23,0,2.24,clear sky
157,Emirdag,TR,2021-04-04 04:54:27,39.0197,31.15,45.46,73,15,7.78,few clouds
158,Maltahohe,NA,2021-04-04 04:54:27,-24.8333,16.9833,70.39,37,3,6.2,clear sky
159,Punta De Bombon,PE,2021-04-04 04:54:27,-17.1717,-71.7931,68.56,86,97,6.33,overcast clouds
160,Luganville,VU,2021-04-04 04:54:28,-15.5333,167.1667,82.71,81,90,10.31,overcast clouds
161,Kavieng,PG,2021-04-04 04:47:05,-2.5744,150.7967,83.07,74,100,6.78,moderate rain
162,Chokurdakh,RU,2021-04-04 04:47:26,70.6333,147.9167,-2.9,92,17,6.87,few clouds
163,Gornopravdinsk,RU,2021-04-04 04:54:28,60.05,69.9,35.55,88,100,8.88,overcast clouds
