City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,Mehamn,NO,2021-04-01 04:32:33,71.0357,27.8492,33.21,95,100,8.59
188,Satipo,PE,2021-04-01 04:32:34,-11.2522,-74.6386,69.98,93,76,1.52
189,Palm Coast,US,2021-04-01 04:32:34,29.585,-81.2078,71.01,88,40,12.66
190,Loandjili,CG,2021-04-01 04:32:34,-4.7561,11.8578,75.2,94,20,2.3
191,Polunochnoye,RU,2021-04-01 04:32:34,60.8697,60.4153,32.47,83,97,7.27
192,Flinders,AU,2021-04-01 04:32:35,-34.5833,150.8552,79.0,44,20,4.61
193,Chuy,UY,2021-04-01 04:32:35,-33.6971,-53.4616,63.59,73,98,6.62
194,San Carlos De Bariloche,AR,2021-04-01 04:32:35,-41.1456,-71.3082,61.0,67,75,10.36
195,Monrovia,LR,2021-04-01 04:32:19,6.3005,-10.7969,75.2,94,46,3.44
196,Broken Hill,AU,2021-04-01 04:32:36,-31.95,141.4333,84.2,23,0,5.75
197,Longyearbyen,SJ,2021-04-01 04:29:23,78.2186,15.6401,30.2,69,75,11.5
198,Develi,TR,2021-04-01 04:32:36,38.3906,35.4922,37.4,93,75,1.14
199,Pangnirtung,CA,2021-04-01 04:32:37,66.1451,-65.7125,5.31,98,100,2.04
200,Nelson Bay,AU,2021-04-01 04:32:37,-32.7167,152.15,75.99,78,75,10.36
201,Chara,RU,2021-04-01 04:32:38,56.9064,118.2631,19.8,68,63,0.45
202,Santa Barbara,US,2021-04-01 04:32:07,34.7333,-120.0343,59.0,41,1,4.88
203,Lebu,CL,2021-04-01 04:30:30,-37.6167,-73.65,55.98,93,43,12.37
204,Gevgelija,MK,2021-04-01 04:32:38,41.1392,22.5025,48.99,99,23,1.01
205,Karatuzskoye,RU,2021-04-01 04:32:38,53.6072,92.8667,31.39,66,87,8.05
206,Aklavik,CA,2021-04-01 04:29:23,68.2191,-135.0107,-0.4,71,100,9.22
207,Sur,OM,2021-04-01 04:32:39,22.5667,59.5289,84.25,50,39,7.31
208,Whitehorse,CA,2021-04-01 04:32:02,60.7161,-135.0538,30.0,59,75,3.44
209,Kawalu,ID,2021-04-01 04:32:39,-7.3817,108.2082,83.19,74,84,2.82
210,Tirlyanskiy,RU,2021-04-01 04:32:39,54.2109,58.5806,32.32,83,100,16.44
211,Bredasdorp,ZA,2021-04-01 04:32:40,-34.5322,20.0403,55.4,88,100,3.44
212,Yar-Sale,RU,2021-04-01 04:32:40,66.8333,70.8333,13.66,94,100,20.15
213,Tigil,RU,2021-04-01 04:32:40,57.8,158.6667,32.16,99,100,6.29
214,Coihaique,CL,2021-04-01 04:32:41,-45.5752,-72.0662,51.8,71,90,9.22
215,Taoudenni,ML,2021-04-01 04:32:41,22.6783,-3.9836,77.67,9,15,10.18
216,Boralday,KZ,2021-04-01 04:32:41,43.3578,76.8594,35.6,93,90,6.71
217,Ruzhyn,UA,2021-04-01 04:32:42,49.7228,29.2046,46.4,93,75,4.47
218,Grants,US,2021-04-01 04:32:42,35.1473,-107.8514,37.4,25,1,5.75
219,Thompson,CA,2021-04-01 04:29:56,55.7435,-97.8558,21.2,63,75,6.91
220,Ibra,OM,2021-04-01 04:32:42,22.6906,58.5334,89.69,13,57,1.28
221,Hasaki,JP,2021-04-01 04:32:43,35.7333,140.8333,69.01,55,40,8.05
