City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
466,Port Blair,IN,85.95,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
467,Basco,PH,79.14,clear sky,20.4487,121.9702,Nathaniel's Lodge
468,Hoa Binh,VN,82.4,mist,20.8133,105.3383,Hoa Dao Hotel
469,Port Pirie,AU,82.4,clear sky,-33.1833,138.0167,John Pirie Motor Inn
476,Auki,SB,86.88,broken clouds,-8.7676,160.7034,Auki Motel
480,Miri,MY,87.8,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
481,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
484,Sampang,ID,89.6,scattered clouds,-7.1872,113.2394,sekretariat IKA STAIN
486,Bull Savanna,JM,73.29,scattered clouds,17.8868,-77.5902,Big Red's
487,Bonthe,SL,77.74,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
489,Oriximina,BR,73.08,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
490,Adre,TD,72.75,overcast clouds,13.4667,22.2,
500,Sungairaya,ID,88.52,broken clouds,0.7,108.9,Mess P.Milu
503,Kununurra,AU,95.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
504,Tabou,CI,78.15,scattered clouds,4.423,-7.3528,hotêl doufoulougou
505,Puerto Colombia,CO,78.8,fog,10.9878,-74.9547,Hotel El Emigrante
506,Christchurch,NZ,78.8,clear sky,-43.5333,172.6333,The George
507,Dwarka,IN,83.77,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
509,Moree,AU,80.6,scattered clouds,-29.4667,149.85,Molika Springs Motel
511,Gondanglegi,ID,88.56,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
514,Bandar-E Lengeh,IR,78.8,haze,26.5579,54.8807,کافی نت پارس
518,Olinda,BR,75.2,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
520,Sao Gabriel Da Cachoeira,BR,73.42,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
526,Haapiti,PF,84.2,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
527,Batemans Bay,AU,82.0,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
528,Saint-Pierre,RE,86.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
533,Kayankulam,IN,86.77,broken clouds,9.1833,76.5,Hotel Royal Indraprastha
535,Ende,ID,75.79,heavy intensity rain,-8.8432,121.6623,Dwi Putra Hotel - Ende
541,Anito,PH,84.11,overcast clouds,12.4497,125.2886,The Yellow House
542,Ocos,GT,80.6,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
543,Gaya,IN,91.4,dust,24.7833,85.0,Hotel Kumar Kripa
544,Alofi,NU,82.4,few clouds,-19.0595,-169.9187,Taloa Heights
548,Salinopolis,BR,77.76,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
555,Kailua,US,75.2,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
559,Sinnamary,GF,77.0,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
568,Harper,LR,78.39,scattered clouds,4.375,-7.7169,Screensaver
571,Amapa,BR,72.01,overcast clouds,1.0,-52.0,
573,Zwedru,LR,72.14,few clouds,6.0667,-8.1281,Elijah Worjloh
574,Tarakan,ID,83.16,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
577,Lakes Entrance,AU,72.0,clear sky,-37.8811,147.981,The Esplanade Resort & Spa
583,Sembakung,ID,93.07,broken clouds,3.8167,117.25,
584,Tahoua,NE,77.0,clear sky,14.8888,5.2692,Bungalows Guesthouse
586,Ewa Beach,US,75.2,clear sky,21.3156,-158.0072,Uncle Junior Robert
587,Luanda,AO,77.0,heavy intensity rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
591,Buchanan,LR,78.13,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
592,Sao Geraldo Do Araguaia,BR,74.17,broken clouds,-6.4006,-48.555,SOLAR DO BARROSO
600,Lamu,KE,82.4,scattered clouds,-2.2717,40.902,Lamu House
603,The Valley,AI,78.8,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
605,Pundaguitan,PH,82.89,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
607,Matoury,GF,80.01,broken clouds,4.8483,-52.3317,Hôtel La Marmotte
615,Wakema,MM,90.5,light rain,16.6,95.1833,AungKaDay Hotel
617,Ariquemes,BR,72.9,light rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
618,Poum,NC,80.55,overcast clouds,-20.2333,164.0167,Gîte kajeon
622,Mecca,SA,73.76,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
625,Faranah,GN,74.52,broken clouds,10.0404,-10.7434,Chez mon oncle
629,Betioky,MG,74.21,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
631,Malakal,SS,85.8,scattered clouds,9.5334,31.6605,Nile Palace Hotel
633,Ngunguru,NZ,73.99,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
634,Puri,IN,89.6,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
639,Toamasina,MG,73.4,scattered clouds,-18.1667,49.3833,Hotel H1
640,Barra Patuca,HN,75.52,scattered clouds,15.8,-84.2833,
643,Inhambane,MZ,73.4,scattered clouds,-23.865,35.3833,Oceano
647,Kalmunai,LK,86.27,few clouds,7.4167,81.8167,VS Villa
649,Mangan,IN,77.41,clear sky,27.5167,88.5333,Hotel Mout View
655,Bubaque,GW,74.93,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
656,Fort Abbas,PK,89.76,clear sky,29.1925,72.8536,AsAd's House
657,Banjar,ID,86.0,scattered clouds,-8.19,114.9675,The Hamsa Resort
662,Maumere,ID,76.15,heavy intensity rain,-8.6199,122.2111,Sylvia Hotel
668,Puerto Baquerizo Moreno,EC,76.5,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
671,Paita,PE,72.95,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
672,Chapada Dos Guimaraes,BR,75.2,moderate rain,-15.4606,-55.7497,Pousada Morro Dos Ventos
676,Sapele,NG,77.67,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
677,Borba,BR,73.35,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
685,Kloulklubed,PW,87.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
688,Diamantino,BR,73.44,overcast clouds,-14.4086,-56.4461,Hotel Delta
689,Florianopolis,BR,73.99,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
691,Doha,QA,72.0,clear sky,25.2867,51.5333,Doha Marriott Hotel
694,Gorontalo,ID,90.99,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
695,Malpe,IN,86.0,few clouds,13.35,74.7167,Hotel Sri Krishna Residency
698,Pilar,BR,75.2,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
699,Bandarbeyla,SO,80.24,overcast clouds,9.4942,50.8122,JABIR HOTEL
700,Raga,SS,73.27,few clouds,8.4596,25.678,
